Kode,Navn,Enhet,Kommentar,bauhaus,byggern,byggmakker,byggmax,byggtorget,elektroimportoren,fargerike,flisekompaniet,gausdal_landhandleri,industrivarer,jemogfix,jernia,maxbo,megaflis,monter,obs_bygg,staypro,torn,verktoy,xl_bygg
26063289,"Furu 15x021 hulkil 2,40 mtr malt Rindalslist",meter,,,81.31,,57.96,,,,,,,,,,,,57.96,,,,
26504845,Furu 18x045 dørsett utforing ncs s0500-n Combiwood Barkevik,stk,,499,409,329,,447.15,,,,514.7,,,,464,,400,309,,,,448.04
26504852,Furu 18x070 dørsett utforing ncs s0500-n Combiwood Barkevik,stk,,599,559,429,,599.25,,,,651.8,,,,604,,952,425,,,,599
26504902,"Kvartstaff 15x15mm 2,4m hvit malt furu",meter,,,95.49,68.16,66.3,,,,,,,,,,,113.84,70.88,,,,
26505081,Furu 12x058 dørpakke malt Rindalslist,stk,,,389,,,,,,,,,,,,,498,325,,,,
26505180,Furu 18x120 dørsett utforing ncs s0500-n Combiwood Barkevik,stk,,899,849,689,,1074.43,,,,950.2,,,,1069,,,659,,,,1044.53
26505370,Feielist eik 09x120x1000 lakkert Combiwood Barkevik,meter,,329,498,509,389,492.8,,,,406.7,,,,499,,529,407,,,,536.18
42352115,Kvartstaff 15x15mm lakkert eik,stk,,,46,115.5,,,,,,,,,,,,154,,,,,148.16
43201703,Gran 19x148 rektangulær kledning endepløyd kl.1 grunnet Øyheim Høvleri,stk,,,39,41.9,38.95,30.8,,,,35.9,,,,48.9,,49.15,47.85,,,,38.64
43236056,Gran 16x098 rektangulær kledning kl.1 grunnet Eidskog Stangeskovene,stk,,,29,27.9,,26.18,,,,23.9,,,,26.9,,44.65,19.85,,,,28.37
43236094,Gran 19x098 rektangulær kledning endepløyd kl.1 grunnet Øyheim Høvleri,stk,,,32,31.9,31.9,28.53,,,,26.6,,,,29.9,,42.7,31.9,,,,31.78
43236113,Rektangulær kledning gran 19x123 grunning + mellomstrøk Gausdal Bruvoll,stk,,,36,33.9,33.85,33.69,,,,35.3,,,,34.9,,51.5,34.9,,,,35.89
43236143,Gran 19x148 dobbelfals gml riller endepløyd gr+m Eidskog Stangeskovene,stk,,,39,44.9,,31.34,,,,,,,,45.9,,53.4,36.9,,,,36.88
43236158,Kledning gran 19x148 skrå kl.1 grunnet Eidskog Stangeskovene,stk,,,53,53.8,,60.4,,,,42.6,,,,59,,75.7,41.95,,,,46.88
43236245,Gran 22x198 rektangulær kledning kl.1 grunnet Eidskog Stangeskovene,stk,,,61.75,64.4,,54.63,,,,53.3,,,,64.9,,100.2,60.45,,,,56.22
44107855,Furu 18x300x2400 laminert utforing malt Opus hvitmalt s0502-y,meter,,328.75,366.54,437.43,,412.59,,,,364.83,,,,502.06,,470.79,499.14,,,,427
45232600,Karmlist furu 12x070x4400 glatt Harmoni hvitmalt s0502-y bomull,meter,,54.32,63.33,59.73,54.25,54.37,,,,,,,,67.87,,92.62,58.79,,,,61.06
45631142,Furu 18x070x4400 laminert utforing ncs s0500-n Combiwood Barkevik,meter,,106.59,109.87,115.54,,104.3,,,,101,,,,120.08,,106.92,114.64,,,,104.65
45631157,Furu 18x095x4400 laminert utforing ncs s0500-n Combiwood Barkevik,meter,,108.86,147.1,148.45,,137.53,,,,120.83,,,,167.75,,137.79,148.69,,,,138.2
47853313,Mdf 04x70x2400 flexilist t hvit tape Rindalslist,meter,,,103.83,124.68,,,,,,,,,,,,,106.33,,,,
51799035,Karmlist furu 12x058x4400 glatt Harmoni hvitmalt s0502-y bomull,meter,,,63.22,45.8,45.17,54.89,,,,,,,,65.15,,76.62,58.34,,13.39,,55.83
51799141,Taklist dobbelskygge 21x34x4400mm hvitmalt furu ncs s0502-y Moelven,meter,,45.23,70.14,56.52,54.25,63.87,,,,,,,,79.22,,83.99,54.25,,28.38,,70.19
51799160,Gulvlist furu 12x058x4400 glatt Harmoni hvitmalt s0502-y bomull,meter,,50.91,63.22,56.52,50.84,56.12,,,,,,,,60.61,,76.05,53.11,,25.65,,56.12
52718063,Furu 12x095x4400 karm rund s0502-y hvitmalt karmlist Moelven,meter,,86.14,135.75,122.35,,108.54,,,,,,,,142.78,,159.35,96.48,,,,116.39
53308882,"Furu 10x070 karmlist rund 4,4m malt Rindalslist",meter,,,90.35,54.25,,,,,,,,,,,,106.92,71.5,,,,
53308954,"Glattkant 12x70mm 4,4m hvit malt furu",meter,,70.23,97.38,,,,,,,,,,,,,92.62,94.2,,,,
54226158,Furu 45x070 vannbrett kl.1 impregnert Alvdal Skurlag,stk,,,159,123,,117.61,,,,,,,,109,,,91.45,,,,109
54229257,Lekt 30x48mm impregnert NTR-AB Kl.1,stk,,,15.9,17.2,15.85,16.31,,,,,,,,16.9,,31.8,16.25,,,,16.9
54229344,Lekt 48x48mm ubehandlet Kl.1,stk,,,21.9,21.4,19.85,20.44,,,,19.6,,,,21.9,,21.4,21.45,,,,21.9
54229961,Furu 19x148 impregnert rektangulær kledning kl.1 Larvik Impregneringskompani,stk,,,42,45.9,,42.06,,,,42.9,,,,43.9,,68.15,38.85,,,,38.47
54229976,Furu 19x123 impregnert rektangulær kledning gr hvit Larvik Impregneringskompani,stk,,,36,44.9,,35.6,,,,35.8,,,,41.9,,57.6,36.5,,,,35.85
54230241,Lekt 23x48mm ubehandlet Kl.1,stk,,,12.5,12.9,11.85,10.48,,,,10.2,,,,12.9,,12.8,12.25,,,,11.78
54230332,Furu 19x148 impregnert dobbelfals 28grader gr Larvik Impregneringskompani,stk,,,42,47.9,38.95,38.91,,,,,,,,46.9,,61.4,41.9,,,,42
